Class,Topic - Glittr,Category - Glittr,Ontology,ID/link,Defintion
Enrichment analysis,Enrichment analysis,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/operation_3501,"Categories from a relevant ontology can be used. The input is typically a set of genes or other biological objects, possibly represented by their identifiers, and the output of the analysis is typically a ranked list of categories, each associated with a statistical metric of over-/under-representation within the studied data. Analysis of a set of objects, such as genes, annotated with given categories, where eventual over-/under-representation of certain categories within the studied set of objects is revealed."
Epigenetics,Epigenetics,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3295,"This includes sub-topics such as histone modification and DNA methylation (methylation sites and analysis, for example of patterns and profiles of DNA methylation in a population, tissue etc.) Topic concerning the study of heritable changes, for example in gene expression or phenotype, caused by mechanisms other than changes in the DNA sequence."
Genome annotation,Genome annotation,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/operation_0362,Annotate a genome sequence with terms from a controlled vocabulary.
Genome assembly,Genome assembly,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/operation_0525,The process of assembling many short DNA sequences together such thay they represent the original chromosomes from which the DNA originated.
Genomics,Genomics,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_0622,"Whole genomes of one or more organisms, or genomes in general, such as meta-information on genomes, genome projects, gene names etc."
Metagenomics,Metagenomics,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3174,"The study of genetic material recovered from environmental samples, and associated environmental data."
Microbiology,Microbiology,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3301,The biology of microorganisms.
Multiomics,Multiomics,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_4021,"Multiomics concerns integration of data from multiple omics (e.g. transcriptomics, proteomics, epigenomics)."
Sequencing,Next generation sequencing,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3168,"The determination of complete (typically nucleotide) sequences, including those of genomes (full genome sequencing, de novo sequencing and resequencing), amplicons and transcriptomes."
RNA-seq,RNA-seq,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3170,"A topic concerning high-throughput sequencing of cDNA to measure the RNA content (transcriptome) of a sample, for example, to investigate how different alleles of a gene are expressed, detect post-transcriptional mutations or identify gene fusions. This includes small RNA profiling (small RNA-Seq), for example to find novel small RNAs, characterize mutations and analyze expression of small RNAs."
Single-Cell Sequencing,Single-cell sequencing,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_4028,"Combined with NGS (Next Generation Sequencing) technologies, single-cell sequencing allows the study of genetic information (DNA, RNA, epigenome...) at a single cell level. It is often used for differential analysis and gene expression profiling."
spatial transcriptomics,Spatial transcriptomics,Omics analysis,Experimental Factor Ontology,http://www.ebi.ac.uk/efo/EFO_0008994,assay that allows visualization and quantitative analysis of the transcriptome with spatial resolution in individual tissue sections
Transcriptomics,Transcriptomics,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3308,"The analysis of transcriptomes, or a set of all the RNA molecules in a specific cell, tissue etc."
Variant pattern analysis,Variant analysis,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/operation_3504,Identify and map patterns of genomic variations. Methods often utilise a database of aligned reads.
Data Science,Data science,Statistics and machine learning,Medical Subject Headings,http://purl.bioontology.org/ontology/MESH/D000077488,"An interdisciplinary field involving processes, theories, concepts, tools, and technologies, that enable the review, analysis, and extraction of valuable knowledge and information from structured and unstructured (raw) data."
Machine learning,Machine learning,Statistics and machine learning,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3474,"A topic concerning the application of artificial intelligence methods to algorithms, in order to create methods that can learn from data in order to generate an ouput, rather than relying on explicitly encoded information only."
Statistics and probability,Statistics,Statistics and machine learning,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_2269,The application of statistical methods to biological problems.
